['python', 'pandas', 0.04]
['django', 'django-views', 0.02]
['django', 'valueerror', 0.02]
['django-models', 'django', 0.02]
['django-models', 'django-forms', 0.02]
['django-models', 'django-views', 0.02]
['django-models', 'valueerror', 0.02]
['django-forms', 'django', 0.02]
['django-forms', 'django-models', 0.02]
['django-forms', 'django-views', 0.02]
['django-forms', 'valueerror', 0.02]
['django-views', 'django', 0.02]
['django-views', 'django-models', 0.02]
['django-views', 'django-forms', 0.02]
['django-views', 'valueerror', 0.02]
['valueerror', 'django', 0.02]
['valueerror', 'django-models', 0.02]
['valueerror', 'django-forms', 0.02]
['valueerror', 'django-views', 0.02]
['python-2.7', 'python-2.x', 0.02]
['python-2.x', 'python-2.7', 0.02]
['sql', 'sql-server', 0.02]
['sql-server', 'sql', 0.02]
['node.js', 'automation', 0.02]
['node.js', 'webdriver-io', 0.02]
['node.js', 'browsermob-proxy', 0.02]
['automation', 'node.js', 0.02]
['automation', 'webdriver-io', 0.02]
['automation', 'browsermob-proxy', 0.02]
['webdriver-io', 'node.js', 0.02]
['webdriver-io', 'automation', 0.02]
['webdriver-io', 'browsermob-proxy', 0.02]
['browsermob-proxy', 'node.js', 0.02]
['browsermob-proxy', 'automation', 0.02]
['browsermob-proxy', 'webdriver-io', 0.02]
['c', 'arrays', 0.02]
['c', 'string', 0.02]
['arrays', 'c', 0.02]
['arrays', 'string', 0.02]
['string', 'c', 0.02]
['string', 'arrays', 0.02]
['r', 'ggplot2', 0.02]
['r', 'purrr', 0.02]
['ggplot2', 'r', 0.02]
['ggplot2', 'purrr', 0.02]
['purrr', 'r', 0.02]
['purrr', 'ggplot2', 0.02]
['python', 'testing', 0.02]
['python', 'pip', 0.02]
['testing', 'python', 0.02]
['testing', 'pip', 0.02]
['pip', 'python', 0.02]
['pip', 'testing', 0.02]
['javascript', 'node.js', 0.02]
['javascript', 'postgresql', 0.02]
['javascript', 'express', 0.02]
['javascript', 'knex.js', 0.02]
['node.js', 'javascript', 0.02]
['node.js', 'postgresql', 0.02]
['node.js', 'express', 0.02]
['node.js', 'knex.js', 0.02]
['postgresql', 'javascript', 0.02]
['postgresql', 'node.js', 0.02]
['postgresql', 'express', 0.02]
['postgresql', 'knex.js', 0.02]
['express', 'javascript', 0.02]
['express', 'node.js', 0.02]
['express', 'postgresql', 0.02]
['express', 'knex.js', 0.02]
['knex.js', 'javascript', 0.02]
['knex.js', 'node.js', 0.02]
['knex.js', 'postgresql', 0.02]
['knex.js', 'express', 0.02]
['excel', 'python-3.x', 0.02]
['python-3.x', 'excel', 0.02]
['batch-file', 'winscp', 0.02]
['winscp', 'batch-file', 0.02]
['angularjs', 'asp.net-web-api', 0.02]
['asp.net-web-api', 'angularjs', 0.02]
['wordpress', 'widget', 0.02]
['wordpress', 'sidebar', 0.02]
['widget', 'wordpress', 0.02]
['widget', 'sidebar', 0.02]
['sidebar', 'wordpress', 0.02]
['sidebar', 'widget', 0.02]
['vb.net', 'multithreading', 0.02]
['vb.net', 'label', 0.02]
['multithreading', 'vb.net', 0.02]
['multithreading', 'label', 0.02]
['label', 'vb.net', 0.02]
['label', 'multithreading', 0.02]
['php', 'ratchet', 0.02]
['php', 'event-loop', 0.02]
['php', 'reactphp', 0.02]
['ratchet', 'php', 0.02]
['ratchet', 'event-loop', 0.02]
['ratchet', 'reactphp', 0.02]
['event-loop', 'php', 0.02]
['event-loop', 'ratchet', 0.02]
['event-loop', 'reactphp', 0.02]
['reactphp', 'php', 0.02]
['reactphp', 'ratchet', 0.02]
['reactphp', 'event-loop', 0.02]
['reactjs', 'froala', 0.02]
['froala', 'reactjs', 0.02]
['intellij-idea', 'protractor', 0.02]
['intellij-idea', 'cucumber', 0.02]
['intellij-idea', 'cucumberjs', 0.02]
['protractor', 'intellij-idea', 0.02]
['protractor', 'cucumber', 0.02]
['protractor', 'cucumberjs', 0.02]
['cucumber', 'intellij-idea', 0.02]
['cucumber', 'protractor', 0.02]
['cucumber', 'cucumberjs', 0.02]
['cucumberjs', 'intellij-idea', 0.02]
['cucumberjs', 'protractor', 0.02]
['cucumberjs', 'cucumber', 0.02]
['python', 'scrapy', 0.02]
['scrapy', 'python', 0.02]
['jni', 'cocos2d-x', 0.02]
['jni', 'cocos2d-x-3.0', 0.02]
['jni', 'cocoscreator', 0.02]
['cocos2d-x', 'jni', 0.02]
['cocos2d-x', 'cocos2d-x-3.0', 0.02]
['cocos2d-x', 'cocoscreator', 0.02]
['cocos2d-x-3.0', 'jni', 0.02]
['cocos2d-x-3.0', 'cocos2d-x', 0.02]
['cocos2d-x-3.0', 'cocoscreator', 0.02]
['cocoscreator', 'jni', 0.02]
['cocoscreator', 'cocos2d-x', 0.02]
['cocoscreator', 'cocos2d-x-3.0', 0.02]
['javascript', 'php', 0.02]
['javascript', 'jquery', 0.02]
['javascript', 'html', 0.02]
['javascript', 'jquery-mobile', 0.02]
['php', 'javascript', 0.02]
['php', 'jquery', 0.02]
['php', 'html', 0.02]
['php', 'jquery-mobile', 0.02]
['jquery', 'javascript', 0.02]
['jquery', 'php', 0.02]
['jquery', 'html', 0.02]
['jquery', 'jquery-mobile', 0.02]
['html', 'javascript', 0.02]
['html', 'php', 0.02]
['html', 'jquery', 0.02]
['html', 'jquery-mobile', 0.02]
['jquery-mobile', 'javascript', 0.02]
['jquery-mobile', 'php', 0.02]
['jquery-mobile', 'jquery', 0.02]
['jquery-mobile', 'html', 0.02]
['bash', 'shell', 0.02]
['bash', 'clickhouse', 0.02]
['shell', 'bash', 0.02]
['shell', 'clickhouse', 0.02]
['clickhouse', 'bash', 0.02]
['clickhouse', 'shell', 0.02]
['javascript', 'image-processing', 0.02]
['image-processing', 'javascript', 0.02]
['sql', 'ms-access', 0.02]
['sql', 'having', 0.02]
['ms-access', 'sql', 0.02]
['ms-access', 'having', 0.02]
['having', 'sql', 0.02]
['having', 'ms-access', 0.02]
['node.js', 'ionic-framework', 0.02]
['node.js', 'heroku', 0.02]
['node.js', 'npm', 0.02]
['node.js', 'npm-install', 0.02]
['ionic-framework', 'node.js', 0.02]
['ionic-framework', 'heroku', 0.02]
['ionic-framework', 'npm', 0.02]
['ionic-framework', 'npm-install', 0.02]
['heroku', 'node.js', 0.02]
['heroku', 'ionic-framework', 0.02]
['heroku', 'npm', 0.02]
['heroku', 'npm-install', 0.02]
['npm', 'node.js', 0.02]
['npm', 'ionic-framework', 0.02]
['npm', 'heroku', 0.02]
['npm', 'npm-install', 0.02]
['npm-install', 'node.js', 0.02]
['npm-install', 'ionic-framework', 0.02]
['npm-install', 'heroku', 0.02]
['npm-install', 'npm', 0.02]
['java', 'apache-camel', 0.02]
['java', 'cxf', 0.02]
['apache-camel', 'java', 0.02]
['apache-camel', 'cxf', 0.02]
['cxf', 'java', 0.02]
['cxf', 'apache-camel', 0.02]
['session', 'flask', 0.02]
['session', 'csrf', 0.02]
['flask', 'session', 0.02]
['flask', 'csrf', 0.02]
['csrf', 'session', 0.02]
['csrf', 'flask', 0.02]
['vb.net', 'batch-file', 0.02]
['vb.net', 'cmd', 0.02]
['batch-file', 'vb.net', 0.02]
['batch-file', 'cmd', 0.02]
['cmd', 'vb.net', 0.02]
['cmd', 'batch-file', 0.02]
['python', 'sdl-2', 0.02]
['python', 'pysdl2', 0.02]
['sdl-2', 'python', 0.02]
['sdl-2', 'pysdl2', 0.02]
['pysdl2', 'python', 0.02]
['pysdl2', 'sdl-2', 0.02]
['azure', 'backup', 0.02]
['azure', 'azure-backup-vault', 0.02]
['backup', 'azure', 0.02]
['backup', 'azure-backup-vault', 0.02]
['azure-backup-vault', 'azure', 0.02]
['azure-backup-vault', 'backup', 0.02]
['python', 'opencv', 0.02]
['pandas', 'opencv', 0.02]
['opencv', 'python', 0.02]
['opencv', 'pandas', 0.02]
['sql', 'sql-server-2008', 0.02]
['sql-server-2008', 'sql', 0.02]
['django', 'multi-tenant', 0.02]
['django', 'python-social-auth', 0.02]
['multi-tenant', 'django', 0.02]
['multi-tenant', 'python-social-auth', 0.02]
['python-social-auth', 'django', 0.02]
['python-social-auth', 'multi-tenant', 0.02]
['python', 'selenium', 0.02]
['python', 'selenium-webdriver', 0.02]
['selenium', 'python', 0.02]
['selenium', 'selenium-webdriver', 0.02]
['selenium-webdriver', 'python', 0.02]
['selenium-webdriver', 'selenium', 0.02]
